fixture	generated_ids	prompt_argmax	prompt_top20_ids	guard_layer0_ids	guard_layer24_ids	guard_layer47_ids	scalar_f32_layer0_max_abs	scalar_f32_layer24_max_abs	mixed_scalar_layer0_max_abs	mixed_scalar_prompt_logit_max_abs	f32_fixed_logit_max_abs	f32_top20_logit_max_abs	f32_allowed_logit_max_abs	mixed_prompt_logits_sha256	scalar_prompt_logits_sha256	mixed_prompt_norm_sha256	repeatability
short_english	0,358	0	0,11,271,198,2219,4894,304,25,13,504,1,481,374,448,8958,497,6313,382,220,369	87,110,105,91,122,41,125,30	85,28,65,112,46,127,24,50	44,15,127,21,126,74,82,57	8.98957252502441406e-4	6.81772828102111816e-4	2.38418579101562500e-7	2.28881835937500000e-5	3.05175781250000000e-3	3.69262695312500000e-3	5.00000007450580597e-2	1270dcac9dd8f2f8cd35dc51934fd9e1d5c1d0eab02f1f5d1009be67bc359014	827343d97ae33f2924c928e588a12ea5ff455346128a0e8ee4ee9c22d81822a7	3f9a55f6130e707979ca3c3fa3fc6d625ae995a19d0339d8fa15a94c8c750ddb	exact
short_thai	7360,91	7360	7360,16222,19360,94482,69440,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,52388,129075,25	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	8.70540738105773926e-4	6.81929290294647217e-4	2.38418579101562500e-7	3.33786010742187500e-5	5.93185424804687500e-3	1.46622657775878906e-2	5.00000007450580597e-2	746cba7a2e171ce34b73bb6a514a62def129f162e2b6aac71a19b006996e42b4	823b93248215c24a472df348dcb14cd5a49de4cb5488059849cc236928845e1e	2bed0f80b5cc8022ea2992fd73bb816f8d68a9d9198535aba6c4440e7285ca42	exact
