state_index	active_layers	top20_ids	top20_exact	top20_set_exact	argmax	argmax_exact	guard0_ids	guard24_ids	guard47_ids	guard0_exact	guard24_exact	guard47_exact	fixed_logit_max_abs	top20_logit_max_abs	local_layer0_max_abs	local_layer24_max_abs	local_layer47_max_abs	logit_94482	rank_94482	logit_69440	rank_69440	logit_52388	rank_52388	logit_129075	rank_129075	prompt_logits_sha256	prompt_final_norm_sha256
0	f32	7360,16222,19360,94482,69440,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,52388,129075,25	true	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	3.71932983398437500e-5	4.38690185546875000e-5	NA	NA	NA	5.75382995605468750e0	4	5.73186683654785156e0	5	5.12808322906494141e0	18	5.12293243408203125e0	19	fbd57820daa967693bc5fac3ff5b3f94a0bedf49301e2f46250e534d501c8e8c	a13ab58ebc129020a579e8a54765f55fa59e16aa7397031bba98d3fca514738c
1	0	7360,16222,19360,94482,69440,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,52388,129075,25	true	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	5.41648268699645996e-3	7.32183456420898438e-3	8.70540738105773926e-4	NA	NA	5.75006437301635742e0	4	5.73918390274047852e0	5	5.12763595581054688e0	18	5.12738084793090820e0	19	f372c16461b8330fd30b388315304f4a1341cf7b30bf0482f510307af93d22aa	0e804c88fc80f54ecadd661e0ff0361b1349b00aaf8238d7e7e9ce15cf49f4d8
2	24	7360,16222,19360,94482,69440,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,52388,129075,25	true	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	4.33105230331420898e-3	9.50908660888671875e-3	NA	1.16805732250213623e-2	NA	5.75151872634887695e0	4	5.74137115478515625e0	5	5.12759256362915039e0	18	5.12389469146728516e0	19	1d16d70ac7f178e191b440f994b4adab7fb85d7f6b6a8c359ba309a07b99d87f	d3631dad8d4aa9b6ac49664af6954fd317746285fe90f2f7d405b34f371a88d8
3	47	7360,16222,19360,94482,69440,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,129075,52388,25	false	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	1.25109553337097168e-2	1.06921195983886719e-2	NA	NA	6.88347816467285156e-2	5.74479866027832031e0	4	5.73325061798095703e0	5	5.12674140930175781e0	19	5.12729644775390625e0	18	5621b55496d0e8c2ee9d486f699eaccc3f5d0bb859eaa17c5b68002ba57d6984	f3c8a8d5b25e7ebaf481515d68dd385feea12f0c0b099499f52a97b75bf9352b
4	0,24	7360,16222,19360,69440,94482,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,129075,52388,25	false	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	5.19609451293945312e-3	1.68161392211914062e-2	8.70540738105773926e-4	1.16818845272064209e-2	NA	5.74773979187011719e0	5	5.74867820739746094e0	4	5.12712192535400391e0	19	5.12832975387573242e0	18	380aae47fdfa823a5703f0b107b917811e9f2efd2715b7d20f63f377560d0801	3403da8d6dc9b10cf20694d32fe71c8ad61396f98e50ffcadef177bb6445af97
5	0,47	7360,16222,19360,94482,69440,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,129075,52388,25	false	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	1.37854814529418945e-2	1.50804519653320312e-2	8.70540738105773926e-4	NA	6.87928199768066406e-2	5.74103927612304688e0	4	5.74055385589599609e0	5	5.12628650665283203e0	19	5.13173961639404297e0	18	d6b3e7a8433b2e4341680984de6da05dd6ac15f0ea63ac3ef2442b1f146786ff	fee6b24fca32773bc2e56dc73f8506353650b3f048b58f0075d53d4dd73a4a2d
6	24,47	7360,16222,19360,69440,94482,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,129075,52388,25	false	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	1.10873878002166748e-2	1.17049217224121094e-2	NA	1.16805732250213623e-2	6.87878131866455078e-2	5.74248743057250977e0	5	5.74275064468383789e0	4	5.12623882293701172e0	19	5.12824726104736328e0	18	2a51f753d48a103ddf0f5d8e4d05860f1320e0f1e51f82c170fbd47d258201fe	00ce62ca2fae6cf4af9777a8031450c7298c259acf6819e54ed11a1d854ea350
7	0,24,47	7360,16222,19360,69440,94482,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,129075,52388,25	false	true	7360	true	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	true	true	true	1.20953917503356934e-2	1.81946754455566406e-2	8.70540738105773926e-4	1.16818845272064209e-2	6.87491893768310547e-2	5.73870754241943359e0	5	5.75005674362182617e0	4	5.12577772140502930e0	19	5.13266563415527344e0	18	6dd566544cb818a094e590c1cab633a2c7d5ac649515de804922291ac36225e6	a5d54381d43ee49fff7aa4b80ea7cef25766fefd3c8685a48c855e9377bd0abe
