token	f32_classification	bf16_classification	f32_vs_rust_max_error	bf16_vs_rust_max_error	bf16_vs_f32_max_error	f32_required_margin	bf16_required_margin	f32_kth	f32_highest_unselected	f32_margin	bf16_kth	bf16_highest_unselected	bf16_margin	transformers_f32_ids	transformers_bf16_ids	rust_ids	transformers_f32_selected_logits	transformers_bf16_selected_logits	rust_selected_logits
0	exact_match_safe	numerically_ambiguous	3.71932983398437500e-5	3.26986312866210938e-2	3.27196121215820312e-2	7.43865966796875000e-5	6.53972625732421875e-2	-4.95234298706054688e0	-4.96248245239257812e0	1.01394653320312500e-2	-4.96875000000000000e0	-4.96875000000000000e0	0.00000000000000000e0	10,105,24,111,101,98,108,50	10,105,24,111,98,101,108,113	10,105,24,111,101,98,108,50	-0.5876399,-2.5279527,-4.601794,-4.7094936,-4.867549,-4.877558,-4.927154,-4.952343	-0.58984375,-2.53125,-4.59375,-4.71875,-4.875,-4.875,-4.9375,-4.96875	-0.5876417,-2.5279596,-4.6018047,-4.709501,-4.8675613,-4.8775682,-4.927161,-4.9523525
1	exact_match_safe	numerically_ambiguous	1.71661376953125000e-5	1.01233959197998047e-1	1.01223945617675781e-1	3.43322753906250000e-5	2.02467918395996094e-1	-3.33735561370849609e0	-3.43282032012939453e0	9.54647064208984375e-2	-3.31250000000000000e0	-3.42187500000000000e0	1.09375000000000000e-1	85,65,28,50,24,105,78,8	85,65,28,50,24,105,78,8	85,65,28,50,24,105,78,8	-1.8140893,-2.30336,-2.6544497,-2.7534232,-2.9101615,-3.004017,-3.1009622,-3.3373556	-1.7734375,-2.265625,-2.65625,-2.71875,-2.859375,-3,-3.109375,-3.3125	-1.8140857,-2.303363,-2.6544528,-2.753426,-2.9101574,-3.0040154,-3.1009617,-3.3373523
2	exact_match_safe	numerically_ambiguous	1.14440917968750000e-5	6.16445541381835938e-2	6.16378784179687500e-2	2.28881835937500000e-5	1.23289108276367188e-1	-3.83955931663513184e0	-3.96136856079101562e0	1.21809244155883789e-1	-3.82812500000000000e0	-3.93750000000000000e0	1.09375000000000000e-1	85,127,46,112,52,65,4,28	85,127,46,112,52,65,4,28	85,127,46,112,52,65,4,28	-1.8756983,-3.002433,-3.2150285,-3.3279877,-3.330579,-3.4532158,-3.7999706,-3.8395593	-1.9296875,-3,-3.21875,-3.328125,-3.328125,-3.453125,-3.8125,-3.828125	-1.8757002,-3.0024328,-3.2150323,-3.327989,-3.330581,-3.4532142,-3.7999737,-3.8395565
3	exact_match_safe	numerically_ambiguous	1.19209289550781250e-5	7.72221088409423828e-2	7.72268772125244141e-2	2.38418579101562500e-5	1.54444217681884766e-1	-3.63086533546447754e0	-3.66165328025817871e0	3.07879447937011719e-2	-3.64062500000000000e0	-3.67187500000000000e0	3.12500000000000000e-2	85,65,46,82,127,73,78,89	85,65,46,127,82,73,78,89	85,65,46,82,127,73,78,89	-2.2006998,-2.376027,-3.062047,-3.3914566,-3.4184747,-3.5227132,-3.5477839,-3.6308653	-2.203125,-2.359375,-3.078125,-3.390625,-3.4375,-3.515625,-3.53125,-3.640625	-2.2006955,-2.376025,-3.062043,-3.3914552,-3.41848,-3.5227182,-3.5477808,-3.6308599
