layer	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error
17	input_rmsnorm	2.26497650146484375e-6	6.95850793272256851e-3	2.74780690670013428e-2
17	attention_output	1.54972076416015625e-6	8.34465026855468750e-6	5.30922319740056992e-3
17	residual_output	2.31933593750000000e-3	2.32768058776855469e-3	6.37376233935356140e-2
17	post_attention_rmsnorm	1.06811523437500000e-4	6.95850793272256851e-3	6.37358725070953369e-2
18	input_rmsnorm	2.38418579101562500e-6	6.95850793272256851e-3	3.65937203168869019e-2
18	attention_output	6.49690628051757812e-6	1.36494636535644531e-5	9.59169492125511169e-3
18	residual_output	2.31933593750000000e-3	2.33298540115356445e-3	5.47286029905080795e-3
18	post_attention_rmsnorm	1.37329101562500000e-4	6.95850793272256851e-3	5.47274574637413025e-3
19	input_rmsnorm	2.74181365966796875e-6	6.95850793272256851e-3	1.07742892578244209e-2
19	attention_output	6.02006912231445312e-6	1.42455101013183594e-5	6.48416252806782722e-3
19	residual_output	2.31933593750000000e-3	2.33358144760131836e-3	8.32410063594579697e-3
19	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	8.32360796630382538e-3
20	input_rmsnorm	2.98023223876953125e-6	6.95850793272256851e-3	1.08578518033027649e-1
20	attention_output	4.54485416412353516e-6	1.34855508804321289e-5	1.22305871918797493e-2
20	residual_output	2.31933593750000000e-3	2.33282148838043213e-3	5.24934381246566772e-2
20	post_attention_rmsnorm	1.44958496093750000e-4	6.95850793272256851e-3	5.24939186871051788e-2
21	input_rmsnorm	2.98023223876953125e-6	6.95850793272256851e-3	7.69003992900252342e-3
21	attention_output	3.15904617309570312e-6	1.20997428894042969e-5	9.55729186534881592e-2
21	residual_output	2.31933593750000000e-3	2.33143568038940430e-3	1.36844618245959282e-2
21	post_attention_rmsnorm	1.29699707031250000e-4	6.95850793272256851e-3	1.36826941743493080e-2
22	input_rmsnorm	2.74181365966796875e-6	6.95850793272256851e-3	3.34510654211044312e-2
22	attention_output	2.62260437011718750e-6	1.08480453491210938e-5	1.25974630936980247e-2
22	residual_output	2.31933593750000000e-3	2.33018398284912109e-3	1.87282226979732513e-2
22	post_attention_rmsnorm	1.37329101562500000e-4	6.95850793272256851e-3	1.87264699488878250e-2
23	input_rmsnorm	3.45706939697265625e-6	6.95850793272256851e-3	2.22271904349327087e-2
23	attention_output	1.71363353729248047e-6	1.20848417282104492e-5	1.58562101423740387e-2
23	residual_output	2.31933593750000000e-3	2.33142077922821045e-3	6.97684753686189651e-3
23	post_attention_rmsnorm	1.60217285156250000e-4	6.95850793272256851e-3	6.97726430371403694e-3
24	input_rmsnorm	3.45706939697265625e-6	6.95850793272256851e-3	4.10272665321826935e-2
24	attention_output	1.84774398803710938e-6	1.22189521789550781e-5	4.19648922979831696e-2
24	residual_output	2.31933593750000000e-3	2.33155488967895508e-3	5.59350997209548950e-2
24	post_attention_rmsnorm	1.48773193359375000e-4	6.95850793272256851e-3	5.59366866946220398e-2
25	input_rmsnorm	3.57627868652343750e-6	6.95850793272256851e-3	2.34338492155075073e-2
25	attention_output	3.60608100891113281e-6	1.43349170684814453e-5	2.98221278935670853e-2
25	residual_output	2.31933593750000000e-3	2.33367085456848145e-3	2.66478899866342545e-2
25	post_attention_rmsnorm	1.52587890625000000e-4	6.95850793272256851e-3	2.66476571559906006e-2
26	input_rmsnorm	5.00679016113281250e-6	6.95850793272256851e-3	3.49097582511603832e-3
26	attention_output	1.37090682983398438e-6	1.63912773132324219e-5	9.87982004880905151e-3
26	residual_output	2.31933593750000000e-3	2.33572721481323242e-3	2.86024110391736031e-3
26	post_attention_rmsnorm	1.67846679687500000e-4	6.95850793272256851e-3	2.85948114469647408e-3
27	input_rmsnorm	4.29153442382812500e-6	6.95850793272256851e-3	1.46558219566941261e-2
27	attention_output	3.03983688354492188e-6	1.59144401550292969e-5	4.98830117285251617e-2
27	residual_output	2.31933593750000000e-3	2.33525037765502930e-3	1.13106723874807358e-2
27	post_attention_rmsnorm	2.13623046875000000e-4	6.95850793272256851e-3	1.13105345517396927e-2
28	input_rmsnorm	9.05990600585937500e-6	6.95850793272256851e-3	2.13482864201068878e-2
28	attention_output	2.54809856414794922e-6	2.97278165817260742e-5	6.71887770295143127e-3
28	residual_output	2.31933593750000000e-3	2.34906375408172607e-3	2.61194020509719849e-1
28	post_attention_rmsnorm	1.44958496093750000e-4	6.95850793272256851e-3	2.61193245649337769e-1
29	input_rmsnorm	5.72204589843750000e-6	6.95850793272256851e-3	9.91382077336311340e-3
29	attention_output	1.22189521789550781e-6	1.83880329132080078e-5	4.72230106592178345e-1
29	residual_output	2.31933593750000000e-3	2.33772397041320801e-3	2.64961160719394684e-2
29	post_attention_rmsnorm	2.05993652343750000e-4	6.95850793272256851e-3	2.64963824301958084e-2
30	input_rmsnorm	5.00679016113281250e-6	6.95850793272256851e-3	1.52042889967560768e-2
30	attention_output	2.50339508056640625e-6	1.75237655639648438e-5	5.90377394109964371e-3
30	residual_output	2.31933593750000000e-3	2.33685970306396484e-3	3.31125818192958832e-2
30	post_attention_rmsnorm	2.13623046875000000e-4	6.95850793272256851e-3	3.31128612160682678e-2
31	input_rmsnorm	9.29832458496093750e-6	6.95850793272256851e-3	3.66614051163196564e-2
