token	ordered_sum_of_squares	mean_square	epsilon	mean_plus_epsilon	square_root	reciprocal_rms	sum_bits	mean_bits	plus_bits	sqrt_bits	reciprocal_bits
0	1.74801647663116455e0	8.53523670230060816e-4	9.99999997475242708e-7	8.54523677844554186e-4	2.92322374880313873e-2	3.42088088989257812e1	3fdfbf01	3a5fbf01	3a60021d	3cef7872	4208d5d2
1	9.93212759494781494e-1	4.84967167722061276e-4	9.99999997475242708e-7	4.85967175336554646e-4	2.20446623861789703e-2	4.53624534606933594e1	3f7e4331	39fe4331	39fec969	3cb49702	42357327
2	1.59600520133972168e0	7.79299414716660976e-4	9.99999997475242708e-7	7.80299422331154346e-4	2.79338397085666656e-2	3.57988739013671875e1	3fcc49e6	3a4c49e6	3a4c8d02	3ce4d582	420f320c
3	1.37058126926422119e0	6.69229135382920504e-4	9.99999997475242708e-7	6.70229142997413874e-4	2.58887838572263718e-2	3.86267662048339844e1	3faf6f35	3a2f6f35	3a2fb251	3cd414b7	421a81cf
