fixture	group_size	hybrid_expert_bytes	hybrid_layer_bytes	trajectory_positions	router_ids_by_position	prompt_guard_exact	position_max_abs	local_max_abs	local_limit	pass_local	candidate_finite	greedy_ids	frozen_greedy_match_by_position	frozen_greedy_match_all
short_english	32	14352384	1837105152	3	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50|85,65,46,56,75,28,50,78	true	5.09288161993026733e-4,1.00735947489738464e-3,8.90884548425674438e-4	1.00735947489738464e-3	1.00000004749745131e-3	false	true	0,358	true,true	true
short_english	16	14548992	1862270976	3	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50|85,65,46,56,75,28,50,78	true	4.84932214021682739e-4,8.96083656698465347e-4,8.63337889313697815e-4	8.96083656698465347e-4	1.00000004749745131e-3	true	true	0,358	true,true	true
short_english	8	14942208	1912602624	3	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50|85,65,46,56,75,28,50,78	true	3.99694778025150299e-4,6.81772828102111816e-4,6.22503459453582764e-4	6.81772828102111816e-4	1.00000004749745131e-3	true	true	0,358	true,true	true
short_thai	32	14352384	1837105152	2	10,105,24,111,101,98,108,113|85,65,126,21,78,22,8,105	true	4.88266348838806152e-4,1.17570161819458008e-3	1.17570161819458008e-3	1.00000004749745131e-3	false	true	7360,91	true,true	true
short_thai	16	14548992	1862270976	2	10,105,24,111,101,98,108,113|85,65,126,21,78,22,8,105	true	4.88748773932456970e-4,1.20401382446289062e-3	1.20401382446289062e-3	1.00000004749745131e-3	false	true	7360,91	true,true	true
short_thai	8	14942208	1912602624	2	10,105,24,111,101,98,108,113|85,65,126,21,78,22,8,105	true	4.03032638132572174e-4,6.81929290294647217e-4	6.81929290294647217e-4	1.00000004749745131e-3	true	true	7360,91	true,true	true
