checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error
layer1_input	1.90734863281250000e-6	1.90734863281250000e-6	1.00812101736664772e-2
layer1_input_rmsnorm	2.90572643280029297e-7	6.22204606770537794e-6	1.00801698863506317e-2
layer1_attention_output	5.75557351112365723e-7	2.12341547012329102e-6	1.87699012458324432e-2
layer1_residual_output	1.90734863281250000e-6	4.03076410293579102e-6	7.97213148325681686e-3
layer1_post_attention_rmsnorm	2.62260437011718750e-6	6.22204606770537794e-6	7.97294080257415771e-3
layer1_router_logits	1.23977661132812500e-5	2.21729278564453125e-5	2.31115268434223253e-6
layer1_routing_weights	5.06639480590820312e-7	9.99999997475242708e-7	4.09549056712421589e-6
resources	dense_bytes_read=153159680	expert_bytes_read=509607936	expert_peak_resident_bytes=18874368	peak_explicit_bytes=191539456
