token	f32_classification	bf16_classification	f32_vs_rust_max_error	bf16_vs_rust_max_error	bf16_vs_f32_max_error	f32_required_margin	bf16_required_margin	f32_kth	f32_highest_unselected	f32_margin	bf16_kth	bf16_highest_unselected	bf16_margin	transformers_f32_ids	transformers_bf16_ids	rust_ids	transformers_f32_selected_logits	transformers_bf16_selected_logits	rust_selected_logits
0	exact_match_safe	exact_match_safe	1.00135803222656250e-5	2.09326744079589844e-2	2.09393501281738281e-2	2.00271606445312500e-5	4.18653488159179688e-2	-3.66746139526367188e0	-3.71434044837951660e0	4.68790531158447266e-2	-3.67187500000000000e0	-3.71875000000000000e0	4.68750000000000000e-2	62,21,75,87,36,126,34,91	62,21,75,87,36,126,34,91	62,21,75,87,36,126,34,91	-2.1163638,-2.776911,-2.8009548,-2.882756,-3.550661,-3.6151838,-3.6226025,-3.6674614	-2.125,-2.78125,-2.796875,-2.890625,-3.546875,-3.625,-3.625,-3.671875	-2.116369,-2.7769134,-2.8009615,-2.882761,-3.5506682,-3.6151881,-3.6226041,-3.66746
1	exact_match_safe	numerically_ambiguous	1.14440917968750000e-5	3.32803726196289062e-2	3.32689285278320312e-2	2.28881835937500000e-5	6.65607452392578125e-2	-3.69511151313781738e0	-3.71845722198486328e0	2.33457088470458984e-2	-3.68750000000000000e0	-3.71875000000000000e0	3.12500000000000000e-2	114,44,26,65,59,104,83,69	114,44,26,65,59,104,83,69	114,44,26,65,59,104,83,69	-1.8211389,-2.144025,-2.3828988,-2.6258616,-2.7192056,-3.4589596,-3.6491895,-3.6951115	-1.828125,-2.140625,-2.390625,-2.625,-2.71875,-3.46875,-3.65625,-3.6875	-1.8211381,-2.1440253,-2.382897,-2.6258574,-2.7192018,-3.4589593,-3.6491914,-3.6951125
2	exact_match_safe	numerically_ambiguous	9.53674316406250000e-6	2.94966697692871094e-2	2.94961929321289062e-2	1.90734863281250000e-5	5.89933395385742188e-2	-3.58465385437011719e0	-3.61555790901184082e0	3.09040546417236328e-2	-3.59375000000000000e0	-3.60937500000000000e0	1.56250000000000000e-2	87,105,110,91,25,54,41,21	87,105,110,91,25,54,41,21	87,105,110,91,25,54,41,21	-2.2279174,-2.8983793,-2.957559,-2.9790335,-3.2408895,-3.3537457,-3.531824,-3.5846539	-2.234375,-2.90625,-2.96875,-2.984375,-3.25,-3.359375,-3.53125,-3.59375	-2.2279174,-2.8983781,-2.9575617,-2.9790325,-3.2408907,-3.3537397,-3.5318246,-3.5846565
3	exact_match_safe	numerically_ambiguous	1.04904174804687500e-5	2.47917175292968750e-2	2.47945785522460938e-2	2.09808349609375000e-5	4.95834350585937500e-2	-3.44315052032470703e0	-3.47707128524780273e0	3.39207649230957031e-2	-3.43750000000000000e0	-3.48437500000000000e0	4.68750000000000000e-2	98,65,99,114,100,72,40,96	98,65,99,114,100,72,40,96	98,65,99,114,100,72,40,96	-1.4899526,-2.5422406,-2.7941425,-2.8515828,-2.932671,-3.0981164,-3.191656,-3.4431505	-1.484375,-2.546875,-2.796875,-2.84375,-2.921875,-3.09375,-3.1875,-3.4375	-1.489948,-2.5422401,-2.7941363,-2.8515785,-2.9326723,-3.0981162,-3.1916547,-3.443149
