token	f32_classification	bf16_classification	f32_vs_rust_max_error	bf16_vs_rust_max_error	bf16_vs_f32_max_error	f32_required_margin	bf16_required_margin	f32_kth	f32_highest_unselected	f32_margin	bf16_kth	bf16_highest_unselected	bf16_margin	transformers_f32_ids	transformers_bf16_ids	rust_ids	transformers_f32_selected_logits	transformers_bf16_selected_logits	rust_selected_logits
0	exact_match_safe	numerically_ambiguous	1.23977661132812500e-5	3.30057144165039062e-2	3.30009460449218750e-2	2.47955322265625000e-5	6.60114288330078125e-2	-4.17711639404296875e0	-4.21725463867187500e0	4.01382446289062500e-2	-4.15625000000000000e0	-4.18750000000000000e0	3.12500000000000000e-2	68,114,55,90,0,9,30,127	68,114,55,90,0,9,30,127	68,114,55,90,0,9,30,127	-1.5648955,-2.0038874,-2.4129558,-2.4271288,-2.7783685,-3.0873518,-3.512266,-4.1771164	-1.5546875,-2,-2.40625,-2.40625,-2.765625,-3.078125,-3.5,-4.15625	-1.5648967,-2.003892,-2.412958,-2.4271305,-2.7783718,-3.087356,-3.5122721,-4.177123
1	exact_match_safe	numerically_ambiguous	1.23977661132812500e-5	3.31230163574218750e-2	3.31239700317382812e-2	2.47955322265625000e-5	6.62460327148437500e-2	-3.16534328460693359e0	-3.17172574996948242e0	6.38246536254882812e-3	-3.15625000000000000e0	-3.17187500000000000e0	1.56250000000000000e-2	50,127,30,119,23,62,58,80	50,127,30,119,23,62,58,80	50,127,30,119,23,62,58,80	-2.0622191,-2.2968457,-2.6839092,-2.8634462,-3.0113177,-3.0849023,-3.1343956,-3.1653433	-2.046875,-2.28125,-2.671875,-2.859375,-3,-3.078125,-3.125,-3.15625	-2.0622177,-2.2968488,-2.6839108,-2.8634439,-3.0113182,-3.0849037,-3.134395,-3.165345
2	exact_match_safe	numerically_ambiguous	1.09672546386718750e-5	2.39033699035644531e-2	2.39028930664062500e-2	2.19345092773437500e-5	4.78067398071289062e-2	-3.71195197105407715e0	-3.74890089035034180e0	3.69489192962646484e-2	-3.70312500000000000e0	-3.75000000000000000e0	4.68750000000000000e-2	8,6,4,30,38,23,22,61	8,6,4,30,38,23,22,61	8,6,4,30,38,23,22,61	-2.3703444,-2.6569881,-3.01477,-3.1811852,-3.3651547,-3.4220226,-3.6907673,-3.711952	-2.359375,-2.671875,-3,-3.171875,-3.359375,-3.421875,-3.6875,-3.703125	-2.3703468,-2.6569881,-3.0147703,-3.1811836,-3.3651597,-3.4220276,-3.6907673,-3.711949
3	exact_match_safe	numerically_ambiguous	1.09672546386718750e-5	3.24983596801757812e-2	3.24978828430175781e-2	2.19345092773437500e-5	6.49967193603515625e-2	-3.84814357757568359e0	-3.86414170265197754e0	1.59981250762939453e-2	-3.84375000000000000e0	-3.85937500000000000e0	1.56250000000000000e-2	127,70,119,18,94,108,61,38	127,70,119,18,94,108,61,38	127,70,119,18,94,108,61,38	-2.4597735,-2.765029,-2.8903766,-2.9258118,-3.4049764,-3.5006642,-3.816327,-3.8481436	-2.453125,-2.765625,-2.890625,-2.921875,-3.390625,-3.5,-3.8125,-3.84375	-2.4597726,-2.7650273,-2.8903742,-2.9258149,-3.404974,-3.5006673,-3.8163292,-3.8481452
