token	f32_classification	bf16_classification	f32_vs_rust_max_error	bf16_vs_rust_max_error	bf16_vs_f32_max_error	f32_required_margin	bf16_required_margin	f32_kth	f32_highest_unselected	f32_margin	bf16_kth	bf16_highest_unselected	bf16_margin	transformers_f32_ids	transformers_bf16_ids	rust_ids	transformers_f32_selected_logits	transformers_bf16_selected_logits	rust_selected_logits
0	exact_match_safe	numerically_ambiguous	3.00407409667968750e-5	8.21642875671386719e-2	8.21828842163085938e-2	6.00814819335937500e-5	1.64328575134277344e-1	-2.53549957275390625e0	-2.65943336486816406e0	1.23933792114257812e-1	-2.51562500000000000e0	-2.64062500000000000e0	1.25000000000000000e-1	54,32,73,34,85,111,117,36	54,32,73,34,85,111,117,36	54,32,73,34,85,111,117,36	-1.5685413,-2.0499763,-2.1105006,-2.1406097,-2.212727,-2.2894661,-2.307975,-2.5354996	-1.5234375,-2.015625,-2.0625,-2.109375,-2.1875,-2.265625,-2.28125,-2.515625	-1.5685244,-2.0499597,-2.1104891,-2.1405933,-2.2127135,-2.2894583,-2.3079553,-2.5354798
1	exact_match_safe	numerically_ambiguous	1.71661376953125000e-5	6.30450248718261719e-2	6.30416870117187500e-2	3.43322753906250000e-5	1.26090049743652344e-1	-3.32868480682373047e0	-3.41863822937011719e0	8.99534225463867188e-2	-3.32812500000000000e0	-3.42187500000000000e0	9.37500000000000000e-2	73,109,86,85,57,32,117,20	73,109,86,85,57,32,117,20	73,109,86,85,57,32,117,20	-2.2909546,-2.4160113,-2.5254366,-2.8242364,-2.8951352,-3.1686146,-3.2786708,-3.3286848	-2.296875,-2.421875,-2.546875,-2.8125,-2.90625,-3.1875,-3.3125,-3.328125	-2.2909534,-2.4160151,-2.5254412,-2.824239,-2.8951433,-3.1686165,-3.2786746,-3.3286896
2	exact_match_safe	numerically_ambiguous	9.05990600585937500e-6	1.10021114349365234e-1	1.10018730163574219e-1	1.81198120117187500e-5	2.20042228698730469e-1	-3.35617375373840332e0	-3.40329027175903320e0	4.71165180206298828e-2	-3.35937500000000000e0	-3.40625000000000000e0	4.68750000000000000e-2	44,15,74,127,114,14,82,21	44,15,74,127,114,14,82,21	44,15,74,127,114,14,82,21	-2.4022279,-2.66292,-2.7503223,-2.8238974,-2.950636,-3.0939388,-3.1956987,-3.3561738	-2.390625,-2.625,-2.734375,-2.78125,-2.953125,-3.09375,-3.1875,-3.359375	-2.4022238,-2.6629183,-2.7503202,-2.8239002,-2.9506378,-3.0939384,-3.1956973,-3.3561764
3	exact_match_safe	numerically_ambiguous	1.43051147460937500e-5	1.39493465423583984e-1	1.39492511749267578e-1	2.86102294921875000e-5	2.78986930847167969e-1	-3.49581050872802734e0	-3.72749233245849609e0	2.31681823730468750e-1	-3.45312500000000000e0	-3.71875000000000000e0	2.65625000000000000e-1	109,74,57,20,73,44,126,86	109,74,57,20,73,44,126,86	109,74,57,20,73,44,126,86	-2.2083082,-2.5218983,-2.5703695,-2.6790047,-2.736332,-3.14852,-3.2689736,-3.4958105	-2.1875,-2.515625,-2.578125,-2.65625,-2.703125,-3.125,-3.296875,-3.453125	-2.2083097,-2.521903,-2.570367,-2.6790054,-2.7363346,-3.1485195,-3.2689776,-3.4958112
