fixture	token_ids	final_norm_reference_sha256	final_norm_rust_sha256	maximum_fixed_final_norm_error	final_norm_characterization_ceiling	maximum_fixed_logit_error	maximum_top20_logit_error	logit_characterization_ceiling	argmax	top1_margin	required_safe_margin	classification	top20_ids	guard_layer0_ids	guard_layer24_ids	guard_layer47_ids	kv_cache_bytes	dense_bytes_read	expert_bytes_read	expert_loads	expert_evictions
single_low_token	0	4a118bc6d1c8ce45010878cb62a5b41c72fd9efb3677f2b645935eefd3a9a635	4424be631206734eb1966d19042554a748d607db95bba25c0f701a831d8a2662	3.20822000503540039e-5	1.55689648818224669e-3	2.04086303710937500e-4	2.84194946289062500e-4	2.05132630071602762e-4	50994	1.90166282653808594e0	5.68389892578125000e-4	exact_match_safe_compact	50994,0,608,220,353,1096,320,314,1688,481,334,358,16,284,9,576,1294,279,3,90	114,45,99,46,98,74,102,65	10,105,24,111,101,98,108,113	125,46,2,101,73,74,87,20	196608	4919713792	7247757312	384	383
short_english	9707,1879	244fca73c594ca39e357156c487cba0c4575de739619e57019dfe2e124222059	fe19187ce83dbcbe5b3e7b04b5d4332ad932f8ae0a64a5ba82403164b96b25e8	4.17232513427734375e-6	1.55689648818224669e-3	4.76837158203125000e-5	4.76837158203125000e-5	2.05132630071602762e-4	0	2.01898574829101562e-1	9.53674316406250000e-5	exact_match_safe_compact	0,11,271,198,2219,4894,304,25,13,504,1,481,374,448,8958,497,6313,382,220,369	87,110,105,91,122,41,125,30	85,28,65,112,46,127,24,50	44,15,127,21,126,74,82,57	393216	8594767872	14495514624	768	767
short_thai	125451	d4d5166b18a446a21bcf0b40671f467d28554724196b1143820998275ea0112c	a13ab58ebc129020a579e8a54765f55fa59e16aa7397031bba98d3fca514738c	1.14440917968750000e-5	1.55689648818224669e-3	3.71932983398437500e-5	4.38690185546875000e-5	2.05132630071602762e-4	7360	2.04807281494140625e-1	8.77380371093750000e-5	exact_match_safe_compact	7360,16222,19360,94482,69440,143737,16064,11,9248,126675,91,124758,30372,760,35648,27891,3693,52388,129075,25	91,39,82,64,90,122,75,55	10,105,24,111,101,98,108,113	118,107,28,49,7,41,87,33	196608	4919713792	7247757312	384	383
code_newline	87,28,16,198	7a991240fe418327da4ae4bc96f7aca0c89a995fad373d7d3e9a4958f18ed50b	8a0cfe7df18652a744fd8615acf24d23fcf3aac01a525ce80bdf682841aea1d3	3.69548797607421875e-6	1.55689648818224669e-3	1.81198120117187500e-5	3.05175781250000000e-5	2.05132630071602762e-4	3472	6.09064102172851562e-1	6.10351562500000000e-5	exact_match_safe_compact	3472,88,1958,1350,2,77,87,82,333,1242,5035,64,750,1830,198,2413,772,72,1607,2810	16,114,1,98,84,100,52,53	64,82,72,91,10,33,88,20	62,125,2,77,101,1,115,60	786432	15944876032	28991029248	1536	1535
repeated_pattern	4223,6386	7516a98eb7db29ed09a007afc353d950a1e9904a811c7dc095eb40ef1a5d3156	fb742c10e1a9e82bfa0f3f314d7cf919eb96aaa6d899b9947bf1e70d89f412bb	2.92062759399414062e-6	1.55689648818224669e-3	2.09808349609375000e-5	2.09808349609375000e-5	2.05132630071602762e-4	6386	1.61742401123046875e0	4.19616699218750000e-5	exact_match_safe_compact	6386,11,0,220,271,13,600,1112,358,498,198,21639,305,3837,432,279,902,419,264,429	2,39,32,33,50,120,122,74	28,92,65,75,46,97,85,111	44,23,73,97,74,18,86,33	393216	8594767872	14495514624	768	767
special_token	151643	1b90d1ce733b96e6520e532b4465541d4632e68d14652af4d857e532f59a7521	b7cb7fd1d80c35addc337b01ff9bf3aa1d1b094ec30b57b5c32c694628ec6854	7.27176666259765625e-6	1.55689648818224669e-3	1.28746032714843750e-5	2.09808349609375000e-5	2.05132630071602762e-4	3838	3.19832801818847656e-1	4.19616699218750000e-5	exact_match_safe_compact	3838,33975,785,334,4340,2,474,27,641,32,256,10061,14582,12,14374,322,50,2679,34,10234	84,53,1,119,68,16,14,114	10,105,24,111,101,98,108,50	77,125,46,28,116,101,83,74	196608	4919713792	7247757312	384	383
